Scenario,D(3),Z,Ship1,Ship2,Ship3,Ship4,Ship5,Ship6,Ship7,Ship8
s1,5,2103.08,B3,B4,B3,B1,B3,B2,B2,B4
s2,6,2094.21,B3,B4,B3,B1,B3,B2,B2,B4
s3,7,2085.35,B3,B4,B3,B1,B3,B2,B2,B4
s4,8,2076.49,B3,B4,B3,B1,B3,B2,B2,B4
s5,9,2067.62,B3,B4,B3,B1,B3,B2,B2,B4
s6,10,2058.76,B3,B4,B3,B1,B3,B2,B2,B4
s7,11,2049.89,B3,B4,B3,B1,B3,B2,B2,B4
s8,12,2041.03,B3,B4,B3,B1,B3,B2,B2,B4
s9,13,2032.17,B3,B4,B3,B1,B3,B2,B2,B4
s10,14,2023.30,B3,B4,B3,B1,B3,B2,B2,B4
s11,15,2014.44,B3,B4,B3,B1,B3,B2,B2,B4
s12,16,2005.57,B3,B4,B3,B1,B3,B2,B2,B4
s13,17,1996.71,B3,B4,B3,B1,B3,B2,B2,B4
s14,18,1987.84,B3,B4,B3,B1,B3,B2,B2,B4
s15,19,1978.98,B3,B4,B3,B1,B3,B2,B2,B4
s16,20,1970.12,B3,B4,B3,B1,B3,B2,B2,B4
s17,21,1961.25,B3,B4,B3,B1,B3,B2,B2,B4
s18,22,1952.39,B3,B4,B3,B1,B3,B2,B2,B4
s19,23,1943.52,B3,B4,B3,B1,B3,B2,B2,B4
s20,24,1934.66,B3,B4,B3,B1,B3,B2,B2,B4
s21,25,1925.79,B3,B4,B3,B1,B3,B2,B2,B4
s22,26,1916.93,B3,B4,B3,B1,B3,B2,B2,B4
s23,27,1908.07,B3,B4,B3,B1,B3,B2,B2,B4
s24,28,1899.20,B3,B4,B3,B1,B3,B2,B2,B4
s25,29,1890.34,B3,B4,B3,B1,B3,B2,B2,B4
s26,30,1881.47,B3,B4,B3,B1,B3,B2,B2,B4
s27,31,1872.61,B3,B4,B3,B1,B3,B2,B2,B4
s28,32,1863.74,B3,B4,B3,B1,B3,B2,B2,B4
s29,33,1854.88,B3,B4,B3,B1,B3,B2,B2,B4
s30,34,1846.02,B3,B4,B3,B1,B3,B2,B2,B4
s31,35,1837.15,B3,B4,B3,B1,B3,B2,B2,B4
s32,36,1828.29,B3,B4,B3,B1,B3,B2,B2,B4
s33,37,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s34,38,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s35,39,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s36,40,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
